Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202203,01,001,3,6,Autauga County                                              ,26,26,8471801,0,0,0,0,0,0,0,0,0,26,26,8471801,0,0,0,0,0,0,0,0,0
202203,01,003,3,6,Baldwin County                                              ,344,344,90950768,0,0,0,0,0,0,1,5,260417,236,236,71905463,0,0,0,0,0,0,0,0,0
202203,01,005,3,6,Barbour County                                              ,1,1,396000,0,0,0,0,0,0,0,0,0,1,1,396000,0,0,0,0,0,0,0,0,0
202203,01,007,3,6,Bibb County                                                 ,2,2,800000,0,0,0,0,0,0,0,0,0,2,2,800000,0,0,0,0,0,0,0,0,0
202203,01,009,3,6,Blount County                                               ,4,4,720000,0,0,0,0,0,0,0,0,0,4,4,720000,0,0,0,0,0,0,0,0,0
202203,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202203,01,013,3,6,Butler County                                               ,1,1,227483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202203,01,015,3,6,Calhoun County                                              ,8,8,1518580,0,0,0,0,0,0,0,0,0,7,7,1438580,0,0,0,0,0,0,0,0,0
202203,01,017,3,6,Chambers County                                             ,3,3,315000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202203,01,019,3,6,Cherokee County                                             ,3,3,411000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202203,01,021,3,6,Chilton County                                              ,71,71,17858481,0,0,0,0,0,0,0,0,0,70,70,17673000,0,0,0,0,0,0,0,0,0
202203,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202203,01,025,3,6,Clarke County                                               ,1,1,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202203,01,027,3,6,Clay County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202203,01,029,3,6,Cleburne County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202203,01,031,3,6,Coffee County                                               ,13,13,2715000,0,0,0,0,0,0,0,0,0,13,13,2715000,0,0,0,0,0,0,0,0,0
202203,01,033,3,6,Colbert County                                              ,21,21,2539506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202203,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202203,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202203,01,039,3,6,Covington County                                            ,2,2,302833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202203,01,041,3,6,Crenshaw County                                             ,1,1,181000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202203,01,043,3,6,Cullman County                                              ,15,15,4735750,0,0,0,0,0,0,0,0,0,13,13,4323000,0,0,0,0,0,0,0,0,0
202203,01,045,3,6,Dale County                                                 ,3,3,456228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
