Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202112,01,001,3,6,Autauga County                                              ,20,20,7829403,0,0,0,0,0,0,0,0,0,20,20,7829403,0,0,0,0,0,0,0,0,0
202112,01,007,3,6,Bibb County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202112,01,009,3,6,Blount County                                               ,4,4,713487,0,0,0,0,0,0,0,0,0,4,4,713487,0,0,0,0,0,0,0,0,0
202112,01,021,3,6,Chilton County                                              ,12,12,2254481,0,0,0,0,0,0,0,0,0,11,11,2069000,0,0,0,0,0,0,0,0,0
202112,01,073,3,6,Jefferson County                                            ,93,93,32345965,0,0,0,0,0,0,0,0,0,47,47,14887251,0,0,0,0,0,0,0,0,0
202112,01,075,3,6,Lamar County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202112,01,081,3,6,Lee County                                                  ,103,103,26391990,4,8,1666600,0,0,0,1,5,616170,70,70,18448529,4,8,1666600,0,0,0,0,0,0
202112,01,083,3,6,Limestone County                                            ,73,73,18017600,0,0,0,0,0,0,0,0,0,73,73,18017600,0,0,0,0,0,0,0,0,0
202112,01,089,3,6,Madison County                                              ,307,307,55801442,1,2,168555,0,0,0,1,7,817157,21,21,9651226,0,0,0,0,0,0,0,0,0
202112,01,113,3,6,Russell County                                              ,24,24,2761153,0,0,0,0,0,0,0,0,0,24,24,2761153,0,0,0,0,0,0,0,0,0
202112,01,115,3,6,St. Clair County                                            ,21,21,3947865,0,0,0,0,0,0,0,0,0,17,17,3319499,0,0,0,0,0,0,0,0,0
202112,01,117,3,6,Shelby County                                               ,73,73,32384833,0,0,0,0,0,0,0,0,0,58,58,27872437,0,0,0,0,0,0,0,0,0
202112,01,127,3,6,Walker County                                               ,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
202112,02,013,4,9,Aleutians East Borough                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202112,02,016,4,9,Aleutians West Census Area                                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202112,02,020,4,9,Anchorage Municipality                                      ,58,58,18558139,0,0,0,1,4,688376,2,30,4506761,0,0,0,0,0,0,0,0,0,0,0,0
202112,02,050,4,9,Bethel Census Area                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202112,02,060,4,9,Bristol Bay Borough                                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202112,02,070,4,9,Dillingham Census Area                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202112,02,090,4,9,Fairbanks North Star Borough                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202112,02,100,4,9,Haines Borough                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202112,02,105,4,9,Hoonah-Angoon Census Area                                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202112,02,110,4,9,Juneau City and Borough                                     ,2,2,281801,0,0,0,0,0,0,0,0,0,2,2,281801,0,0,0,0,0,0,0,0,0
