Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202111,01,001,3,6,Autauga County                                              ,21,21,6255268,0,0,0,0,0,0,0,0,0,21,21,6255268,0,0,0,0,0,0,0,0,0
202111,01,007,3,6,Bibb County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202111,01,009,3,6,Blount County                                               ,0,0,0,1,2,223215,0,0,0,0,0,0,0,0,0,1,2,223215,0,0,0,0,0,0
202111,01,021,3,6,Chilton County                                              ,3,3,490481,0,0,0,0,0,0,0,0,0,2,2,305000,0,0,0,0,0,0,0,0,0
202111,01,073,3,6,Jefferson County                                            ,104,104,33261854,0,0,0,0,0,0,0,0,0,99,99,32547379,0,0,0,0,0,0,0,0,0
202111,01,075,3,6,Lamar County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202111,01,081,3,6,Lee County                                                  ,103,103,27726086,0,0,0,0,0,0,5,89,12830232,20,20,6264064,0,0,0,0,0,0,0,0,0
202111,01,083,3,6,Limestone County                                            ,26,26,6121093,0,0,0,0,0,0,0,0,0,26,26,6121093,0,0,0,0,0,0,0,0,0
202111,01,089,3,6,Madison County                                              ,251,251,50188134,0,0,0,0,0,0,0,0,0,116,116,16242972,0,0,0,0,0,0,0,0,0
202111,01,113,3,6,Russell County                                              ,15,15,2640224,0,0,0,0,0,0,0,0,0,15,15,2640224,0,0,0,0,0,0,0,0,0
202111,01,115,3,6,St. Clair County                                            ,24,24,4953690,0,0,0,0,0,0,0,0,0,12,12,2448421,0,0,0,0,0,0,0,0,0
202111,01,117,3,6,Shelby County                                               ,89,89,32830672,0,0,0,0,0,0,0,0,0,56,56,22338140,0,0,0,0,0,0,0,0,0
202111,01,127,3,6,Walker County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202111,02,013,4,9,Aleutians East Borough                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202111,02,016,4,9,Aleutians West Census Area                                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202111,02,020,4,9,Anchorage Municipality                                      ,57,57,18238171,0,0,0,1,4,688376,2,25,3755635,0,0,0,0,0,0,0,0,0,0,0,0
202111,02,050,4,9,Bethel Census Area                                          ,1,1,296834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202111,02,060,4,9,Bristol Bay Borough                                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202111,02,070,4,9,Dillingham Census Area                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202111,02,090,4,9,Fairbanks North Star Borough                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202111,02,100,4,9,Haines Borough                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202111,02,105,4,9,Hoonah-Angoon Census Area                                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202111,02,110,4,9,Juneau City and Borough                                     ,1,1,200176,2,4,653460,0,0,0,0,0,0,1,1,200176,2,4,653460,0,0,0,0,0,0
