Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202306,01,001,3,6,Autauga County                                              ,29,29,10575661,0,0,0,0,0,0,0,0,0,29,29,10575661,0,0,0,0,0,0,0,0,0
202306,01,003,3,6,Baldwin County                                              ,295,295,107098996,3,6,1075000,0,0,0,0,0,0,276,276,104352854,3,6,1075000,0,0,0,0,0,0
202306,01,005,3,6,Barbour County                                              ,15,15,3373000,20,40,3552700,0,0,0,0,0,0,15,15,3373000,20,40,3552700,0,0,0,0,0,0
202306,01,007,3,6,Bibb County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202306,01,009,3,6,Blount County                                               ,2,2,340484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202306,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202306,01,013,3,6,Butler County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202306,01,015,3,6,Calhoun County                                              ,9,9,1473625,0,0,0,0,0,0,0,0,0,8,8,1398620,0,0,0,0,0,0,0,0,0
202306,01,017,3,6,Chambers County                                             ,3,3,532500,0,0,0,0,0,0,0,0,0,2,2,410000,0,0,0,0,0,0,0,0,0
202306,01,019,3,6,Cherokee County                                             ,1,1,75000,0,0,0,0,0,0,0,0,0,1,1,75000,0,0,0,0,0,0,0,0,0
202306,01,021,3,6,Chilton County                                              ,2,2,538000,0,0,0,0,0,0,0,0,0,2,2,538000,0,0,0,0,0,0,0,0,0
202306,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202306,01,025,3,6,Clarke County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202306,01,027,3,6,Clay County                                                 ,1,1,123286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202306,01,029,3,6,Cleburne County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202306,01,031,3,6,Coffee County                                               ,15,15,3705730,0,0,0,0,0,0,0,0,0,15,15,3705730,0,0,0,0,0,0,0,0,0
202306,01,033,3,6,Colbert County                                              ,10,10,1304748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202306,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202306,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202306,01,039,3,6,Covington County                                            ,1,1,260857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202306,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202306,01,043,3,6,Cullman County                                              ,15,15,3310233,0,0,0,0,0,0,0,0,0,12,12,2692400,0,0,0,0,0,0,0,0,0
202306,01,045,3,6,Dale County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
