Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202204,01,001,3,6,Autauga County                                              ,36,36,12796074,0,0,0,0,0,0,0,0,0,36,36,12796074,0,0,0,0,0,0,0,0,0
202204,01,003,3,6,Baldwin County                                              ,291,291,78043413,0,0,0,0,0,0,1,12,952996,177,177,53792250,0,0,0,0,0,0,0,0,0
202204,01,005,3,6,Barbour County                                              ,2,2,537400,0,0,0,0,0,0,0,0,0,2,2,537400,0,0,0,0,0,0,0,0,0
202204,01,007,3,6,Bibb County                                                 ,2,2,750000,0,0,0,0,0,0,0,0,0,2,2,750000,0,0,0,0,0,0,0,0,0
202204,01,009,3,6,Blount County                                               ,2,2,527225,0,0,0,0,0,0,0,0,0,1,1,289510,0,0,0,0,0,0,0,0,0
202204,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,01,013,3,6,Butler County                                               ,1,1,339810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,01,015,3,6,Calhoun County                                              ,11,11,2016670,0,0,0,0,0,0,0,0,0,11,11,2016670,0,0,0,0,0,0,0,0,0
202204,01,017,3,6,Chambers County                                             ,1,1,200000,0,0,0,0,0,0,0,0,0,1,1,200000,0,0,0,0,0,0,0,0,0
202204,01,019,3,6,Cherokee County                                             ,2,2,411250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,01,021,3,6,Chilton County                                              ,2,2,408073,0,0,0,0,0,0,0,0,0,1,1,200000,0,0,0,0,0,0,0,0,0
202204,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,01,025,3,6,Clarke County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,01,027,3,6,Clay County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,01,029,3,6,Cleburne County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,01,031,3,6,Coffee County                                               ,15,15,3825330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,01,033,3,6,Colbert County                                              ,19,19,2303094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,01,039,3,6,Covington County                                            ,1,1,244500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,01,043,3,6,Cullman County                                              ,11,11,3347000,7,14,600000,0,0,0,0,0,0,10,10,3207000,7,14,600000,0,0,0,0,0,0
202204,01,045,3,6,Dale County                                                 ,6,6,1085112,0,0,0,0,0,0,0,0,0,4,4,717200,0,0,0,0,0,0,0,0,0
