Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202206,01,001,3,6,Autauga County                                              ,17,17,6919238,0,0,0,0,0,0,0,0,0,17,17,6919238,0,0,0,0,0,0,0,0,0
202206,01,003,3,6,Baldwin County                                              ,285,285,79531782,0,0,0,0,0,0,1,13,1032412,180,180,57152116,0,0,0,0,0,0,0,0,0
202206,01,005,3,6,Barbour County                                              ,2,2,429600,0,0,0,0,0,0,0,0,0,2,2,429600,0,0,0,0,0,0,0,0,0
202206,01,007,3,6,Bibb County                                                 ,1,1,425000,0,0,0,0,0,0,0,0,0,1,1,425000,0,0,0,0,0,0,0,0,0
202206,01,009,3,6,Blount County                                               ,3,3,552315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,013,3,6,Butler County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,015,3,6,Calhoun County                                              ,4,4,523310,0,0,0,0,0,0,0,0,0,3,3,443310,0,0,0,0,0,0,0,0,0
202206,01,017,3,6,Chambers County                                             ,1,1,143222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,019,3,6,Cherokee County                                             ,1,1,200000,0,0,0,0,0,0,0,0,0,1,1,200000,0,0,0,0,0,0,0,0,0
202206,01,021,3,6,Chilton County                                              ,7,7,1634064,0,0,0,0,0,0,0,0,0,2,2,776750,0,0,0,0,0,0,0,0,0
202206,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,025,3,6,Clarke County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,027,3,6,Clay County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,029,3,6,Cleburne County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,031,3,6,Coffee County                                               ,17,17,4335374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,033,3,6,Colbert County                                              ,18,18,2184888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,039,3,6,Covington County                                            ,2,2,521167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,01,043,3,6,Cullman County                                              ,52,52,9632015,0,0,0,0,0,0,0,0,0,49,49,9073444,0,0,0,0,0,0,0,0,0
202206,01,045,3,6,Dale County                                                 ,7,7,865094,0,0,0,0,0,0,0,0,0,6,6,708000,0,0,0,0,0,0,0,0,0
202206,01,047,3,6,Dallas County                                               ,3,3,472319,0,0,0,0,0,0,0,0,0,1,1,172800,0,0,0,0,0,0,0,0,0
