Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202205,01,001,3,6,Autauga County                                              ,14,14,4368877,0,0,0,0,0,0,0,0,0,14,14,4368877,0,0,0,0,0,0,0,0,0
202205,01,003,3,6,Baldwin County                                              ,307,307,79489992,1,2,228600,0,0,0,1,12,952996,236,236,66356920,1,2,228600,0,0,0,0,0,0
202205,01,005,3,6,Barbour County                                              ,2,2,526000,0,0,0,0,0,0,0,0,0,2,2,526000,0,0,0,0,0,0,0,0,0
202205,01,007,3,6,Bibb County                                                 ,1,1,275000,0,0,0,0,0,0,0,0,0,1,1,275000,0,0,0,0,0,0,0,0,0
202205,01,009,3,6,Blount County                                               ,4,4,567900,0,0,0,0,0,0,0,0,0,4,4,567900,0,0,0,0,0,0,0,0,0
202205,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202205,01,013,3,6,Butler County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202205,01,015,3,6,Calhoun County                                              ,14,14,2035950,0,0,0,0,0,0,0,0,0,12,12,1727450,0,0,0,0,0,0,0,0,0
202205,01,017,3,6,Chambers County                                             ,1,1,232864,0,0,0,0,0,0,0,0,0,1,1,232864,0,0,0,0,0,0,0,0,0
202205,01,019,3,6,Cherokee County                                             ,3,3,535500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202205,01,021,3,6,Chilton County                                              ,2,2,305000,0,0,0,0,0,0,0,0,0,2,2,305000,0,0,0,0,0,0,0,0,0
202205,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202205,01,025,3,6,Clarke County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202205,01,027,3,6,Clay County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202205,01,029,3,6,Cleburne County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202205,01,031,3,6,Coffee County                                               ,18,18,4812352,0,0,0,0,0,0,0,0,0,2,2,732000,0,0,0,0,0,0,0,0,0
202205,01,033,3,6,Colbert County                                              ,17,17,2047622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202205,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202205,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202205,01,039,3,6,Covington County                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202205,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202205,01,043,3,6,Cullman County                                              ,5,5,1355571,3,6,700000,0,0,0,0,0,0,3,3,937000,3,6,700000,0,0,0,0,0,0
202205,01,045,3,6,Dale County                                                 ,6,6,822094,0,0,0,0,0,0,0,0,0,5,5,665000,0,0,0,0,0,0,0,0,0
202205,01,047,3,6,Dallas County                                               ,1,1,149759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
