Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201612,01,001,3,6,Autauga County                ,15,15,3561212,0,0,0,0,0,0,0,0,0,15,15,3561212,0,0,0,0,0,0,0,0,0
201612,01,007,3,6,Bibb County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201612,01,009,3,6,Blount County                 ,4,4,821095,0,0,0,0,0,0,0,0,0,4,4,821095,0,0,0,0,0,0,0,0,0
201612,01,021,3,6,Chilton County                ,4,4,784000,0,0,0,0,0,0,0,0,0,4,4,784000,0,0,0,0,0,0,0,0,0
201612,01,073,3,6,Jefferson County              ,125,125,31177341,0,0,0,0,0,0,1,47,4504941,96,96,24306836,0,0,0,0,0,0,0,0,0
201612,01,083,3,6,Limestone County              ,3,3,495045,0,0,0,0,0,0,0,0,0,3,3,495045,0,0,0,0,0,0,0,0,0
201612,01,089,3,6,Madison County                ,139,139,20949538,0,0,0,0,0,0,1,36,1589076,139,139,20949538,0,0,0,0,0,0,1,36,1589076
201612,01,113,3,6,Russell County                ,11,11,1849054,0,0,0,0,0,0,0,0,0,11,11,1849054,0,0,0,0,0,0,0,0,0
201612,01,115,3,6,St. Clair County              ,10,10,1537329,0,0,0,0,0,0,0,0,0,9,9,1316465,0,0,0,0,0,0,0,0,0
201612,01,117,3,6,Shelby County                 ,60,60,15033594,0,0,0,0,0,0,1,10,170000,18,18,5092738,0,0,0,0,0,0,0,0,0
201612,01,127,3,6,Walker County                 ,1,1,40000,0,0,0,0,0,0,0,0,0,1,1,40000,0,0,0,0,0,0,0,0,0
201612,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201612,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201612,02,020,4,9,Anchorage Borough             ,57,57,17838649,0,0,0,1,3,522682,2,16,2529529,0,0,0,0,0,0,0,0,0,0,0,0
201612,02,020,4,9,Anchorage Municipality        ,57,57,17838649,0,0,0,1,3,522682,2,16,2529529,0,0,0,0,0,0,0,0,0,0,0,0
201612,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201612,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201612,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201612,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201612,02,100,4,9,Haines Borough                ,1,1,277264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201612,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201612,02,110,4,9,Juneau Borough                ,1,1,382016,0,0,0,0,0,0,0,0,0,1,1,382016,0,0,0,0,0,0,0,0,0
201612,02,110,4,9,Juneau City and Borough       ,1,1,382016,0,0,0,0,0,0,0,0,0,1,1,382016,0,0,0,0,0,0,0,0,0
