Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202311,01,001,3,6,Autauga County                                              ,18,18,3583000,0,0,0,0,0,0,0,0,0,18,18,3583000,0,0,0,0,0,0,0,0,0
202311,01,003,3,6,Baldwin County                                              ,236,236,72180407,2,4,550000,0,0,0,0,0,0,163,163,54047492,2,4,550000,0,0,0,0,0,0
202311,01,005,3,6,Barbour County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,007,3,6,Bibb County                                                 ,1,1,401000,0,0,0,0,0,0,0,0,0,1,1,401000,0,0,0,0,0,0,0,0,0
202311,01,009,3,6,Blount County                                               ,1,1,170242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,013,3,6,Butler County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,015,3,6,Calhoun County                                              ,0,0,0,1,2,100000,0,0,0,0,0,0,0,0,0,1,2,100000,0,0,0,0,0,0
202311,01,017,3,6,Chambers County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,019,3,6,Cherokee County                                             ,1,1,212300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,021,3,6,Chilton County                                              ,2,2,280000,0,0,0,0,0,0,0,0,0,2,2,280000,0,0,0,0,0,0,0,0,0
202311,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,025,3,6,Clarke County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,027,3,6,Clay County                                                 ,2,2,246572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,029,3,6,Cleburne County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,031,3,6,Coffee County                                               ,11,11,2853337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,033,3,6,Colbert County                                              ,5,5,859848,0,0,0,0,0,0,0,0,0,3,3,585316,0,0,0,0,0,0,0,0,0
202311,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,039,3,6,Covington County                                            ,1,1,134213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202311,01,043,3,6,Cullman County                                              ,5,5,1269833,0,0,0,0,0,0,0,0,0,3,3,792000,0,0,0,0,0,0,0,0,0
202311,01,045,3,6,Dale County                                                 ,3,3,493850,0,0,0,1,4,137000,0,0,0,3,3,493850,0,0,0,1,4,137000,0,0,0
202311,01,047,3,6,Dallas County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
